path,team,score
fan/maillots-fan (268).jpeg,Milan,0.3538012206554413
fan/maillots-fan (269).jpeg,New Zealand,0.3135625123977661
fan/maillots-fan (27).jpeg,Santos,0.3353365957736969
fan/maillots-fan (270).jpeg,Germany,0.35641077160835266
fan/maillots-fan (271).jpeg,Newcastle United,0.3652850091457367
fan/maillots-fan (272).jpeg,UAE,0.3398418724536896
fan/maillots-fan (273).jpeg,UAE,0.3539305031299591
fan/maillots-fan (274).jpeg,Japan,0.3645387887954712
fan/maillots-fan (275).jpeg,LFC,0.3263038396835327
fan/maillots-fan (276).jpeg,Japan,0.28186890482902527
fan/maillots-fan (277).jpeg,LFC,0.3263038396835327
fan/maillots-fan (278).jpeg,Japon,0.2841464579105377
fan/maillots-fan (279).jpeg,Inter Miami CF,0.3295838236808777
fan/maillots-fan (28).jpeg,North Macedonia,0.36569660902023315
fan/maillots-fan (280).jpeg,Denmark,0.383074015378952
fan/maillots-fan (281).jpeg,Orlando City SC,0.3911762833595276
fan/maillots-fan (282).jpeg,Club América,0.3622279167175293
fan/maillots-fan (283).jpeg,Angleterre,0.3542095720767975
fan/maillots-fan (284).jpeg,Barcelona,0.35667940974235535
fan/maillots-fan (285).jpeg,Corinthians,0.3282458782196045
fan/maillots-fan (286).jpeg,Marseille,0.3400447368621826
fan/maillots-fan (287).jpeg,Angers,0.3465489447116852
fan/maillots-fan (288).jpeg,Vitesse,0.38511472940444946
fan/maillots-fan (289).jpeg,Manchester United,0.3483906388282776
fan/maillots-fan (29).jpeg,Famalicão,0.36158284544944763
fan/maillots-fan (290).jpeg,Vitesse,0.38511472940444946
fan/maillots-fan (291).jpeg,RB Leipzig,0.3947716951370239
fan/maillots-fan (292).jpeg,China,0.35279324650764465
fan/maillots-fan (293).jpeg,Italy,0.35115063190460205
fan/maillots-fan (294).jpeg,Barcelona,0.3652816414833069
fan/maillots-fan (295).jpeg,São Paulo,0.35235393047332764
fan/maillots-fan (296).jpeg,Philippines,0.36467915773391724
fan/maillots-fan (297).jpeg,Celtic,0.33955004811286926
fan/maillots-fan (298).jpeg,Real Madrid,0.3436758816242218
fan/maillots-fan (299).jpeg,Netherlands,0.3731984496116638
fan/maillots-fan (3).jpeg,Celtic,0.3769274950027466
fan/maillots-fan (30).jpeg,United States,0.3526298999786377
fan/maillots-fan (300).jpeg,LFC,0.3297317624092102
fan/maillots-fan (301).jpeg,Paris Fc,0.3559364676475525
fan/maillots-fan (302).jpeg,Kazakhstan,0.3603163957595825
fan/maillots-fan (303).jpeg,Paris Fc,0.3559364676475525
fan/maillots-fan (304).jpeg,Lyon,0.36937129497528076
fan/maillots-fan (305).jpeg,Galatasaray SK,0.40322402119636536
fan/maillots-fan (306).jpeg,Syrie,0.3664277195930481
fan/maillots-fan (307).jpeg,Brazil,0.33660250902175903
fan/maillots-fan (308).jpeg,São Paulo,0.34946027398109436
fan/maillots-fan (309).jpeg,Argentine,0.36548280715942383
fan/maillots-fan (31).jpeg,Celtic,0.35393792390823364
fan/maillots-fan (310).jpeg,New York City FC,0.34645718336105347
fan/maillots-fan (311).jpeg,Chelsea FC,0.3633882403373718
fan/maillots-fan (312).jpeg,Fulham FC,0.3688468933105469
fan/maillots-fan (313).jpeg,Havre,0.36278748512268066
fan/maillots-fan (314).jpeg,Manchester United,0.37296223640441895
fan/maillots-fan (315).jpeg,Palestine,0.39482516050338745
fan/maillots-fan (316).jpeg,Manchester United,0.37296223640441895
fan/maillots-fan (317).jpeg,Om,0.3084258735179901
fan/maillots-fan (318).jpeg,Seattle Sounders FC,0.3721885681152344
fan/maillots-fan (319).jpeg,Lyon,0.3673171103000641
fan/maillots-fan (32).jpeg,Barcelona,0.3632746934890747
fan/maillots-fan (320).jpeg,Juventus FC,0.37392985820770264
fan/maillots-fan (321).jpeg,Real Madrid,0.35669422149658203
fan/maillots-fan (322).jpeg,Egypt,0.32805928587913513
fan/maillots-fan (323).jpeg,Ajax,0.347392737865448
fan/maillots-fan (324).jpeg,Republique techque,0.317376971244812
fan/maillots-fan (325).jpeg,Nigeria,0.356434166431427
fan/maillots-fan (326).jpeg,Côte d'Ivoire,0.34782660007476807
fan/maillots-fan (327).jpeg,Atlanta United FC,0.35343137383461
fan/maillots-fan (328).jpeg,Mexique,0.37770992517471313
fan/maillots-fan (329).jpeg,Atlanta United FC,0.35343137383461
fan/maillots-fan (33).jpeg,Club América,0.40258079767227173
fan/maillots-fan (330).jpeg,RB Leipzig,0.3795565068721771
fan/maillots-fan (331).jpeg,Sporting CP,0.3787477910518646
fan/maillots-fan (332).jpeg,Germany,0.34143754839897156
fan/maillots-fan (333).jpeg,Santos,0.37783312797546387
fan/maillots-fan (334).jpeg,England,0.3358934223651886
fan/maillots-fan (335).jpeg,Barcelona,0.3653234839439392
fan/maillots-fan (336).jpeg,Fulham FC,0.3773014545440674
fan/maillots-fan (337).jpeg,Liverpool,0.3370331823825836
fan/maillots-fan (338).jpeg,Valencia CF,0.373335063457489
fan/maillots-fan (339).jpeg,Real Madrid,0.3478251099586487
fan/maillots-fan (34).jpeg,Nantes,0.34657108783721924
fan/maillots-fan (340).jpeg,Belgique,0.3408551514148712
fan/maillots-fan (341).jpeg,Real Madrid,0.3478251099586487
fan/maillots-fan (342).jpeg,Napoli,0.3365778625011444
fan/maillots-fan (343).jpeg,Sheffield United FC,0.36051085591316223
fan/maillots-fan (344).jpeg,SSC Napoli,0.36252546310424805
fan/maillots-fan (345).jpeg,LFC,0.35203325748443604
fan/maillots-fan (346).jpeg,Italie,0.3879210948944092
fan/maillots-fan (347).jpeg,PSG,0.3340567946434021
fan/maillots-fan (348).jpeg,Newcastle United,0.3476339280605316
fan/maillots-fan (349).jpeg,Barcelona,0.3559209704399109
fan/maillots-fan (35).jpeg,AFC Ajax,0.3751557469367981
fan/maillots-fan (350).jpeg,AFC Ajax,0.3715585768222809
fan/maillots-fan (351).jpeg,Nicaragua,0.3605700433254242
fan/maillots-fan (352).jpeg,Saint Etienne,0.3628808856010437
fan/maillots-fan (353).jpeg,Nicaragua,0.3605700433254242
fan/maillots-fan (354).jpeg,Korea Republic,0.36305221915245056
fan/maillots-fan (355).jpeg,Sweden,0.3411727547645569
fan/maillots-fan (356).jpeg,Valencia CF,0.36311134696006775
fan/maillots-fan (357).jpeg,Inter Miami CF,0.35467132925987244
fan/maillots-fan (358).jpeg,Colombia,0.36446505784988403
fan/maillots-fan (359).jpeg,FC Barcelone,0.3586444556713104
fan/maillots-fan (36).jpeg,Mexico,0.37996622920036316
fan/maillots-fan (360).jpeg,Arsenal FC,0.3416260778903961
fan/maillots-fan (361).jpeg,Club América (Mexico),0.36326339840888977
fan/maillots-fan (362).jpeg,Trinidad and Tobago,0.3462430536746979
fan/maillots-fan (363).jpeg,New Zealand,0.3234448730945587
fan/maillots-fan (364).jpeg,England,0.34978505969047546
fan/maillots-fan (365).jpeg,New Zealand,0.3234448730945587
fan/maillots-fan (366).jpeg,Bordeaux,0.36785656213760376
fan/maillots-fan (367).jpeg,Bermuda,0.33248549699783325
fan/maillots-fan (368).jpeg,Club América,0.4012155532836914
fan/maillots-fan (369).jpeg,Sweden,0.3648761808872223
fan/maillots-fan (37).jpeg,Real Madrid,0.3394518494606018
fan/maillots-fan (370).jpeg,Corinthians,0.35026082396507263
fan/maillots-fan (371).jpeg,Barcelona,0.36421889066696167
fan/maillots-fan (372).jpeg,West Ham United,0.3737618029117584
fan/maillots-fan (373).jpeg,Santa Clara,0.3485022485256195
fan/maillots-fan (374).jpeg,Marseille,0.37480664253234863
fan/maillots-fan (375).jpeg,Brazil,0.31660428643226624
fan/maillots-fan (376).jpeg,Korea Republic,0.3181087076663971
fan/maillots-fan (377).jpeg,Brazil,0.31660428643226624
fan/maillots-fan (378).jpeg,Kazakhstan,0.37005865573883057
fan/maillots-fan (379).jpeg,Japon,0.3138524889945984
fan/maillots-fan (38).jpeg,Beşiktaş,0.3640283942222595
fan/maillots-fan (380).jpeg,Paris Saint-Germain,0.34523046016693115
fan/maillots-fan (381).jpeg,Los Angeles Galaxy,0.3441999852657318
fan/maillots-fan (382).jpeg,USA,0.3498646914958954
fan/maillots-fan (383).jpeg,Manchester United,0.3452569246292114
fan/maillots-fan (384).jpeg,CR Flamengo,0.3483399450778961
fan/maillots-fan (385).jpeg,Albania,0.3522111177444458
fan/maillots-fan (386).jpeg,Fulham FC,0.33850163221359253
fan/maillots-fan (387).jpeg,Seattle Sounders,0.3613840341567993
fan/maillots-fan (388).jpeg,Fulham FC,0.33850163221359253
fan/maillots-fan (389).jpeg,Fulham FC,0.369617760181427
fan/maillots-fan (39).jpeg,Celtic FC,0.3615221679210663
fan/maillots-fan (390).jpeg,Japan,0.35102736949920654
fan/maillots-fan (391).jpeg,Bosnia and Herzegovina,0.37747037410736084
fan/maillots-fan (392).jpeg,SBV Excelsior,0.35919710993766785
fan/maillots-fan (393).jpeg,Mexico,0.3701496124267578
fan/maillots-fan (394).jpeg,Arsenal FC,0.3529374897480011
fan/maillots-fan (395).jpeg,England,0.3387771546840668
fan/maillots-fan (396).jpeg,Milan,0.3544410765171051
fan/maillots-fan (397).jpeg,Brazil,0.3583628237247467
fan/maillots-fan (398).jpeg,Japon,0.2742609977722168
fan/maillots-fan (399).jpeg,Brazil,0.3583628237247467
fan/maillots-fan (4).jpeg,Chelsea FC,0.3637118935585022
fan/maillots-fan (40).jpeg,Real Madrid,0.3485008776187897
fan/maillots-fan (400).jpeg,PSG,0.3719664514064789
fan/maillots-fan (401).jpeg,Japon,0.2726113200187683
fan/maillots-fan (402).jpeg,Guyana,0.393943190574646
fan/maillots-fan (403).jpeg,Vancouver Whitecaps FC,0.3717781901359558
fan/maillots-fan (404).jpeg,Nigeria,0.34767794609069824
fan/maillots-fan (405).jpeg,Paços de Ferreira,0.34178540110588074
fan/maillots-fan (406).jpeg,Paris Saint-Germain,0.3748375177383423
fan/maillots-fan (407).jpeg,Angleterre,0.3584791421890259
fan/maillots-fan (408).jpeg,Ajax,0.3826723098754883
fan/maillots-fan (409).jpeg,Famalicão,0.3674297034740448
fan/maillots-fan (41).jpeg,Paris Fc,0.33134907484054565
